time	Qdflat(1)	tau(1)	hru_ea(1)	hru_rh(1)	hru_t(1)
units	(W/m^2)	()	(kPa)	(%)	(°C)
41903.5	652.12	0.576178	0.630911	44.555	12.14
41903.54167	692.927	0.576178	0.626616	45.4725	11.7275
41903.58333	680.768	0.576178	0.615994	43.7675	12.0475
41903.625	616.55	0.576178	0.595927	38.73	13.4075
41903.66667	505.141	0.576178	0.608871	39.61	13.3925
41903.70833	356.679	0.576178	0.636807	44.89	12.1675
41903.75	186.185	0.576178	0.65341	49.07	11.21
41903.79167	34.3541	0.576178	0.64674	48.7225	11.1625
41903.83333	0	0.576178	0.64086	45.76	11.9725
41903.875	0	0.576178	0.631414	43.2125	12.6175
41903.91667	0	0.576178	0.61241	40.39	13.1825
41903.95833	0	0.576178	0.647644	46.115	12.015
41904	0	0.576178	0.680454	53.235	10.595
41904.04167	0	0.3745	0.681545	54.7825	10.19
41904.08333	0	0.3745	0.692153	52.135	11.165
41904.125	0	0.3745	0.733958	51.7725	12.1575
41904.16667	0	0.3745	0.759047	53.375	12.205
41904.20833	0	0.3745	0.785042	71.9225	8.24975
41904.25	0	0.3745	0.739786	65.4375	8.7675
41904.29167	1.56809	0.3745	0.790637	65.8725	9.655
41904.33333	89.9685	0.3745	0.812256	68.6825	9.435
41904.375	259.202	0.3745	0.800272	71.2325	8.675
41904.41667	421.255	0.3745	0.800279	72.895	8.335
41904.45833	554.63	0.3745	0.784269	70.4975	8.53
41904.5	645.359	0.3745	0.714326	62.0425	9.0375
41904.54167	686.175	0.3745	0.736498	64.62	8.8875
41904.58333	674.014	0.3745	0.745483	67.33	8.46
41904.625	609.782	0.3745	0.687244	59.64	9.05
41904.66667	498.364	0.3745	0.700264	69.485	7.08125
41904.70833	350.138	0.3745	0.695154	64.3075	8.10725
41904.75	179.892	0.3745	0.734202	67.48	8.20275
41904.79167	30.9177	0.3745	0.741302	75.445	6.7125
41904.83333	0	0.3745	0.722563	75.0675	6.41375
41904.875	0	0.3745	0.729139	76.3175	6.30575
41904.91667	0	0.3745	0.717042	76.8675	5.96
41904.95833	0	0.3745	0.694196	75.0775	5.83275
41905	0	0.3745	0.691353	70.53	6.67775
41905.04167	0	0.294738	0.685505	67.1275	7.274
41905.08333	0	0.294738	0.695211	65.8225	7.76675
41905.125	0	0.294738	0.721709	66.9575	8.06475
41905.16667	0	0.294738	0.765329	72.26	7.8075
41905.20833	0	0.294738	0.745703	69.4975	7.99825
41905.25	0	0.294738	0.733844	66.3125	8.4525
41905.29167	0.977754	0.294738	0.756732	68.555	8.415
41905.33333	84.5955	0.294738	0.768128	71.5875	7.99825
41905.375	252.636	0.294738	0.787149	71.8575	8.3025
41905.41667	414.641	0.294738	0.818854	77.615	7.7505
41905.45833	547.822	0.294738	0.817091	77.6225	7.7175
41905.5	638.561	0.294738	0.816524	77.195	7.78825
41905.54167	679.384	0.294738	0.812554	76.5725	7.8355
41905.58333	667.221	0.294738	0.813928	79.885	7.24075
